,name,genre,author,status,alt_title,views,score,nb_votes
72,Bound,Drama-Historical-Martialarts-Webtoons-Yaoi,"
Gwendolyn ",Ongoing,Fate (Gwendoline) ; 缘分 ; 인연 (그웬돌린),927.6K,3.99,406
73,Perfect Surgeon,Drama-Fantasy-Medical-Seinen-Sliceoflife,"
Moidal (뫼달) - Wan.z ",Ongoing,퍼펙트 써전 ; Идеальный хирург,17.6M,4.71,1007
74,Ordinary Person A,Comedy-Fantasy,"
Geumbich Yeonghon ",Ongoing,General A ; 일반인 A,75.3K,4.38,89
75,Smyrna & Capri,Historical-Erotica,"
Brothers Without A Tomorrow ",Ongoing,스미르나 & 키프리,3.4M,4.5,637
76,The Guy She Was Interested in Wasn't a Guy at All,Romance-Schoollife-Shoujoai-Yuri,"
Arai Sumiko ",Ongoing,"Ki ni Natteru Hito ga Otoko Janakatta ; Kininatteru Hito ga Otoko Jyanakatta ; O cara que ela estava interessada não era um cara ; Pria Yang Dia Suka Ternyata Sama Sekali Bukan Pria ; Хлопець, який її цікавив, взагалі не був хлопцем ; 気になってる人が男じゃなかった",5.9M,4.41,1735
77,Artiste,Cooking-Seinen-Sliceoflife,"
Samoyed Tarou ",Ongoing,アーティスト ; Artiste 料理艺术之路 ; 아르티스트(Artiste),103.7K,4.78,50
78,The Rise of the Unemployed Wise Man,Action-Adventure-Comedy-Fantasy,"
Mikawa Ghost - Oomine ",Ongoing,失業賢者の成り上がり　～嫌われた才能は世界最強でした～,40.1M,"rate :
4.57/
5",5
79,"Keep A Low Profile, Sect Leader",Action-Drama-Fantasy-Historical-Martialarts-Schoollife-Shounen-Manhua,"
二胡藏剑 - 阅文漫画 ",Ongoing,"Zhang Men Di Diao Dian ; Headmaster, Keep Yourself Low Profile ; Keep a Low Profile, Sect Leader ; Sect Head, Be a Bit Modest ; Zhǎng Mén Dī Diào Diǎn ; 掌门低调点",21.7M,4.78,2853
80,ENNEAD,Historical-Supernatural-Yaoi,"
Mojito ",Ongoing, Enneadeu; Энеада; Энеада,5.7M,4.03,714
81,Did You Do Naughty Things with My Voice?,Mature-Smut-Yaoi,"
Coco Haramiya ",Ongoing,"俺の声でえっちなことしてた？ ;
Ore no Koe de Ecchi na Koto Shiteta?",41.2K,3.72,36
82,My Civil Servant Life Reborn in the Strange World,Action-Adventure-Comedy-Fantasy-Manhwa,"
Jd - Il.k (일계) ",Ongoing,My Civil Servant Life as a Reincarnated Battle Race ; 戦闘種族に転生した俺の公務員生活記 ; 转生为战斗种族的我，想过悠闲生活 ; 전투종족으로 환생한 나의 공무원 생활기,14.8M,"rate :
4.26/
5",5
83,Check In to Your Heart,Drama-Romance-Shoujo,"
P.cong ",Ongoing,Check In to My Heart ; Check In to Your Heart ; Will It Be Better or Love? Will It Get Better or Will It Be Love? 좋아질까 사랑일까,1.7M,4.69,172
84,Corpse Party,Drama-Horror-Mystery-Psychological-Romance-Schoollife-Shounen-Supernatural-Tragedy,"
Chihiro ",Ongoing,コープスパーティー,181.8K,4.32,22
85,Apex Future Martial Arts,Action-Fantasy-Martialarts,"
常盘勇者 ",Ongoing,"Gao Wu: Denglu Weilai Yi Wan Nian ; Gāo Wǔ: Dēnglù Wèilái Yī Wàn Nián ; Logging 10,000 Years into the Future ; Martial Art: Future's Ten Thousand Years ; 高武：登陆未来一万年",12.2M,"rate :
4.84/
5",5
